genres,id,original_language,release_date,runtime,title,vote_average,director
Action Adventure Fantasy Science Fiction,19995,en,12/10/2009,162,Avatar,7.2,James Cameron
Adventure Fantasy Action,285,en,5/19/2007,169,Pirates of the Caribbean: At World's End,6.9,Gore Verbinski
Action Adventure Crime,206647,en,10/26/2015,148,Spectre,6.3,Sam Mendes
Action Crime Drama Thriller,49026,en,7/16/2012,165,The Dark Knight Rises,7.6,Christopher Nolan
Action Adventure Science Fiction,49529,en,3/7/2012,132,John Carter,6.1,Andrew Stanton
Fantasy Action Adventure,559,en,5/1/2007,139,Spider-Man 3,5.9,Sam Raimi
Animation Family,38757,en,11/24/2010,100,Tangled,7.4,Byron Howard
Action Adventure Science Fiction,99861,en,4/22/2015,141,Avengers: Age of Ultron,7.3,Joss Whedon
Adventure Fantasy Family,767,en,7/7/2009,153,Harry Potter and the Half-Blood Prince,7.4,David Yates
Action Adventure Fantasy,209112,en,3/23/2016,151,Batman v Superman: Dawn of Justice,5.7,Zack Snyder
Adventure Fantasy Action Science Fiction,1452,en,6/28/2006,154,Superman Returns,5.4,Bryan Singer
Adventure Action Thriller Crime,10764,en,10/30/2008,106,Quantum of Solace,6.1,Marc Forster
Adventure Fantasy Action,58,en,6/20/2006,151,Pirates of the Caribbean: Dead Man's Chest,7,Gore Verbinski
Action Adventure Western,57201,en,7/3/2013,149,The Lone Ranger,5.9,Gore Verbinski
Action Adventure Fantasy Science Fiction,49521,en,6/12/2013,143,Man of Steel,6.5,Zack Snyder
Adventure Family Fantasy,2454,en,5/15/2008,150,The Chronicles of Narnia: Prince Caspian,6.3,Andrew Adamson
Science Fiction Action Adventure,24428,en,4/25/2012,143,The Avengers,7.4,Joss Whedon
Adventure Action Fantasy,1865,en,5/14/2011,136,Pirates of the Caribbean: On Stranger Tides,6.4,Rob Marshall
Action Comedy Science Fiction,41154,en,5/23/2012,106,Men in Black 3,6.2,Barry Sonnenfeld
Action Adventure Fantasy,122917,en,12/10/2014,144,The Hobbit: The Battle of the Five Armies,7.1,Peter Jackson
Action Adventure Fantasy,1930,en,6/27/2012,136,The Amazing Spider-Man,6.5,Marc Webb
